uvkey,aqi
"(612827760, 370687792, 0)",1.931
"(612827760, 612807820, 0)",1.931
"(612827761, 612827759, 0)",1.905
"(612827761, 370687792, 0)",1.918
"(612827761, 612807822, 0)",1.918
"(337347191, 35651803, 0)",1.97
"(337347191, 3385642705, 0)",1.905
"(337347191, 3385642704, 0)",1.88
"(35652218, 392270083, 0)",1.854
"(35652218, 4398369691, 0)",1.854
"(35652218, 4398369695, 0)",1.841
"(35652218, 585331289, 0)",1.854
"(1376715403, 3676784126, 0)",1.815
"(1376715403, 731117406, 0)",1.815
"(1376715403, 3676784129, 0)",1.815
"(1376715415, 3392485731, 0)",1.841
"(1376715415, 1875975708, 0)",1.815
"(1376715415, 491864056, 0)",1.815
"(1376715415, 491864053, 0)",1.815
"(471794331, 471794332, 0)",1.944
"(471794332, 471794331, 0)",1.944
"(471794332, 471574813, 0)",1.944
"(471794332, 364926759, 0)",1.944
"(471794334, 580670415, 0)",2.035
"(2436694692, 462027529, 0)",1.828
"(2436694695, 462027530, 0)",1.828
"(2436694695, 462027529, 0)",1.828
"(2436694695, 504482941, 0)",1.828
"(764707502, 1975659685, 0)",1.828
"(764707502, 3632923894, 0)",1.828
"(764707502, 5469336455, 0)",1.828
"(255034035, 352938545, 0)",1.878
"(2436694714, 34729087, 0)",1.905
"(2436694714, 364533174, 0)",1.983
"(2436694714, 2437881272, 0)",1.918
"(2436694714, 353709411, 0)",1.905
"(34177734, 266023909, 0)",1.841
"(34177734, 366839923, 0)",1.854
"(34177734, 316423906, 0)",1.854
"(34177734, 932580169, 0)",1.867
"(365298380, 364800555, 0)",1.957
"(365298380, 365298382, 0)",1.957
"(365298380, 954573931, 0)",1.957
"(365298380, 404265483, 0)",1.88
"(365298381, 365303535, 0)",1.893
"(365298381, 364800525, 0)",1.957
"(365298381, 365298382, 0)",1.957
"(365298381, 631811711, 0)",1.918
"(365298382, 365298380, 0)",1.957
"(365298382, 365298381, 0)",1.957
"(365298382, 60706262, 0)",1.957
"(365298382, 631811710, 0)",1.931
"(482771680, 25543249, 0)",1.854
"(482771680, 659583272, 0)",1.854
"(482771680, 482771682, 0)",1.854
"(482771680, 659583273, 0)",1.854
"(365298401, 365298403, 0)",1.905
"(33981153, 309349639, 0)",1.841
"(33981153, 310626460, 0)",1.88
"(33981153, 176146383, 0)",1.854
"(33981153, 310695406, 0)",1.905
"(365298403, 365298401, 0)",1.905
"(365298403, 365299403, 0)",1.905
"(365298403, 365298405, 0)",1.905
"(33981156, 493161194, 0)",1.893
"(33981156, 5017695841, 0)",1.88
"(33981156, 493161195, 0)",1.88
"(33981156, 310626485, 0)",1.905
"(365298405, 365298403, 0)",1.905
"(365298405, 365299405, 0)",1.905
"(593396454, 593396459, 0)",1.944
"(33981157, 496804079, 0)",1.841
"(33981157, 6464683340, 0)",1.88
"(33981157, 34177798, 0)",1.944
"(33981157, 664173396, 0)",1.905
"(482771688, 2421256360, 0)",1.815
"(482771688, 659583272, 0)",1.828
"(482771688, 370250697, 0)",1.815
"(33981161, 290598447, 0)",1.996
"(33981161, 664390861, 0)",1.996
"(33981161, 176150535, 0)",1.918
"(33981162, 290598373, 0)",1.815
"(33981162, 297283588, 0)",1.88
"(33981162, 352749781, 0)",1.905
"(593396459, 593396454, 0)",1.944
"(593396459, 478777489, 0)",1.944
"(593396459, 34772806, 0)",1.944
"(33981163, 287425042, 0)",1.905
"(33981163, 352749776, 0)",1.867
"(33981163, 352749781, 0)",1.931
"(33981165, 352749766, 0)",1.893
"(33981165, 290598366, 0)",1.828
"(33981165, 352749776, 0)",1.957
"(33981165, 33981168, 0)",1.828
"(482771694, 482771696, 0)",1.802
"(482771694, 468298210, 0)",1.802
"(482771694, 6416854378, 0)",1.815
"(710738671, 1319430524, 0)",1.835
"(710738671, 710738679, 0)",1.835
"(710738671, 287425066, 0)",1.88
"(33981168, 33981165, 0)",1.828
"(33981168, 287425022, 0)",1.944
"(33981168, 287425052, 0)",1.867
"(34177777, 482735786, 0)",1.931
"(34177777, 482735782, 0)",1.931
"(34177777, 34177784, 0)",1.905
"(34177777, 470921618, 0)",1.867
"(482771696, 482771694, 0)",1.802
"(482771696, 708493704, 0)",1.815
