;id_otp;name_otp;vertex_class;traversable_walking;traversable_biking;label;traffic_light;free_flowing;x;y;geometry
354623;70030;osm:node:601734442;OsmVertex;True;True;osm:node:601734442;False;False;24.969412100000003;60.219242799999996;POINT (24.969412100000003 60.2192428)
354628;70036;osm:node:601734445;OsmVertex;True;True;osm:node:601734445;False;False;24.969217999999998;60.21936070000001;POINT (24.969218 60.2193607)
354646;70033;osm:node:601734439;OsmVertex;True;True;osm:node:601734439;False;False;24.9692198;60.2190535;POINT (24.9692198 60.2190535)
354649;70032;osm:node:601734438;OsmVertex;True;True;osm:node:601734438;False;False;24.969424;60.21905450000001;POINT (24.969424 60.219054500000006)
354650;70034;osm:node:601734437;OsmVertex;True;True;osm:node:601734437;False;False;24.969224;60.21894870000001;POINT (24.969224 60.218948700000006)
354674;70038;osm:node:601734467;OsmVertex;True;True;osm:node:601734467;False;False;24.968245600000003;60.21934690000001;POINT (24.968245600000003 60.219346900000005)
354675;70037;osm:node:601734466;OsmVertex;True;True;osm:node:601734466;False;False;24.9682756;60.218932499999994;POINT (24.968275600000002 60.2189325)
354712;309448;osm:node:2466173783;OsmVertex;True;True;osm:node:2466173783;False;False;24.980415899999997;60.2150576;POINT (24.9804159 60.2150576)
354725;406964;osm:node:443220057;OsmVertex;True;True;osm:node:443220057;False;False;24.953250699999998;60.20286230000001;POINT (24.9532507 60.20286230000001)
354726;35927;osm:node:6667362630;OsmVertex;True;True;osm:node:6667362630;False;False;24.9673766;60.2138537;POINT (24.9673766 60.2138537)
354734;53099;osm:node:443220059;OsmVertex;True;True;osm:node:443220059;False;False;24.9527883;60.2031101;POINT (24.9527883 60.2031101)
354773;450562;osm:node:6667362628;OsmVertex;True;True;osm:node:6667362628;False;False;24.967406800000006;60.213907000000006;POINT (24.967406800000003 60.213907000000006)
